MC	<p>ce30_9934</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Correct	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect
MC	<p>3dba_3dbe</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Correct	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect
MC	<p>ce30_82f8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfaction, odorant binding decreases <strong><strong>cAMP</strong></strong> by directly inhibiting adenylyl cyclase.	Correct	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect
MC	<p>3dba_0a72</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Correct	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	In mammals, olfactory receptors are ligand gated ion channels that open directly when an odorant binds.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect
MC	<p>ce30_a9c6</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Correct	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	Many odorant receptors are <strong>GPCR</strong>s expressed in olfactory sensory neurons.	Incorrect
MC	<p>3dba_af0a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong><strong>GPCR</strong></strong> proteins.	Correct	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect
MC	<p>ce30_4526</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	Bitter tastants are detected by the same receptor used for salty taste.	Correct	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect
MC	<p>ce30_c66b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Correct
MC	<p>ce30_d3ad</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sour tastants are detected because they increase pH inside taste receptor cells.	Correct	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect	A single olfactory sensory neuron usually expresses one receptor type.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect
MC	<p>ce30_5e03</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfaction, ion channels open only after <strong><strong>cAMP</strong></strong> is converted into <strong><strong>cGMP</strong></strong>.	Correct	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect
MC	<p>3dba_dc85</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Correct
MC	<p>3dba_b332</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	<strong><strong>cAMP</strong></strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Correct	Bitter tastants are detected by the same receptor used for salty taste.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect
MC	<p>ce30_d7cd</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	A cascade is less sensitive because it prevents second messenger production.	Correct	In sour sensing cells, protons (H+) can directly change ion channel activity.	Incorrect
MC	<p>3dba_ab54</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code.	Correct	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect
MC	<p>3dba_7608</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Sweet taste commonly uses a <strong><strong>GPCR</strong></strong> pathway rather than a simple ion channel pore.	Correct	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect
MC	<p>3dba_036e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code.	Correct	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect
MC	<p>ce30_92e9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	A single olfactory sensory neuron usually expresses one receptor type.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect	Phosphodiesterase makes <strong><strong>cAMP</strong></strong> from ATP and starts signaling.	Correct	In sour sensing cells, protons (H+) can directly change ion channel activity.	Incorrect
MC	<p>3dba_a2ff</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Correct	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect
MC	<p>3dba_47b3</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong><strong>GPCR</strong></strong> proteins.	Correct	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect
MC	<p>3dba_9172</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Correct	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect
MC	<p>ce30_69bf</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Correct
MC	<p>3dba_ab3e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong><strong>GPCR</strong></strong> signaling.	Correct	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect
MC	<p>3dba_0f76</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfaction, <strong><strong>cAMP</strong></strong> can act as a second messenger that gates ion channels.	Correct	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect
MC	<p>3dba_b5cd</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	In olfaction, <strong><strong>cAMP</strong></strong> can act as a second messenger that gates ion channels.	Correct	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect
MC	<p>ce30_91ba</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect	A single olfactory sensory neuron usually expresses one receptor type.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Correct	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect
MC	<p>ce30_df3f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Correct	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect
MC	<p>ce30_a90b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Correct
MC	<p>3dba_47e7</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect	Salty taste is often detected by direct ion flow across the membrane.	Correct	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect
MC	<p>3dba_3e41</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Salty taste is often detected by direct ion flow across the membrane.	Correct	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect
MC	<p>ce30_bc66</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Correct	In sour sensing cells, protons (H+) can directly change ion channel activity.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect
MC	<p>3dba_e45a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Correct	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect
MC	<p>ce30_f562</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Phosphodiesterase makes <strong><strong>cAMP</strong></strong> from ATP and starts signaling.	Correct	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect
MC	<p>ce30_bdd9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	A single olfactory sensory neuron usually expresses one receptor type.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong><strong>cAMP</strong></strong> and <strong><strong>cGMP</strong></strong>.	Correct
MC	<p>ce30_dc58</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect	Sour tastants are associated with low pH and increased proton concentration.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Correct	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect
MC	<p>3dba_81dc</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect	Sour taste is linked to high acidity and elevated <strong>H<sub>3</sub>O<sup>+</sup></strong> in foods.	Correct	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect
MC	<p>ce30_50b8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Bitter tastants are detected by the same receptor used for salty taste.	Correct	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect
MC	<p>3dba_968b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	Odor identity is encoded by patterns of activity across many receptor types.	Correct	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect
MC	<p>ce30_fb8e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	A single olfactory sensory neuron usually expresses one receptor type.	Incorrect	Olfactory transduction primarily depends on <strong><strong>cGMP</strong></strong> made by guanylyl cyclase.	Correct	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	Sour taste is linked to high acidity and elevated <strong>H<sub>3</sub>O<sup>+</sup></strong> in foods.	Incorrect	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect
MC	<p>ce30_033d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Correct	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect
MC	<p>3dba_f09d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	<strong><strong>cAMP</strong></strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Correct	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	A cascade is less sensitive because it prevents second messenger production.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect
MC	<p>ce30_ce8f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Correct	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect
MC	<p>3dba_3a58</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Sour tastants are associated with low pH and increased proton concentration.	Correct	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect
MC	<p>3dba_b3b3</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Correct	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Bitter tastants are detected by the same receptor used for salty taste.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect
MC	<p>ce30_ad9e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Correct	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect
MC	<p>ce30_cc3f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sour taste is linked to high acidity and elevated <strong>H<sub>3</sub>O<sup>+</sup></strong> in foods.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Correct	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect
MC	<p>ce30_466f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect	Sour taste is linked to high acidity and elevated <strong>H<sub>3</sub>O<sup>+</sup></strong> in foods.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Correct
MC	<p>ce30_3e05</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	Phosphodiesterase makes <strong><strong>cAMP</strong></strong> from ATP and starts signaling.	Correct	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect
MC	<p>3dba_1832</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Salty taste commonly involves ion movement through channels rather than <strong><strong>GPCR</strong></strong> signaling.	Correct	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect
MC	<p>ce30_db15</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Olfactory transduction primarily depends on <strong><strong>cGMP</strong></strong> made by guanylyl cyclase.	Correct	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect
