MC	<p>0ba7_5980</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	Bacteria are prokaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong>.	Correct	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect
MC	<p>0ba7_77f3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All known <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> must have a<strong> <span style="color: MediumBlue;">cell</span></strong> wall.	Correct
MC	<p>0ba7_5acf</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require glucose for survival.	Correct	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> come from other living <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_6548</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All living <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong> by division.	Incorrect	Humans are multicellular.	Correct	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic structural and functional units of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect
MC	<p>0ba7_c7db</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	Eukaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> are complex.	Correct	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect	All known <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_9d20</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;">Cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic building blocks of all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> have a nucleus which divides.	Correct	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect
MC	<p>0ba7_4723</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require glucose for survival.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> come from other living <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic structural and functional units of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect
MC	<p>0ba7_f73d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic structural and functional units of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> are too small to see without a microscope.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect
MC	<p>0ba7_a0b0</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain membrane-bound organelles.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic building blocks of all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> come from other living <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_158e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">living things</span></strong></span></strong> are only composed of <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> and nothing else.	Correct	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_d321</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic structural and functional units of <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">life</span></strong></span></strong>.	Correct
MC	<p>0ba7_8970</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic unit of structure and function in all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong> by division.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic building blocks of all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect	Bacteria are prokaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong>.	Correct
MC	<p>0ba7_af5b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require oxygen in order to survive.	Correct	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All known <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_5436</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic unit of structure and function in all <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">living things</span></strong></span></strong>.	Correct
MC	<p>0ba7_77ae</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic building blocks of all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic unit of structure and function in all <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">living things</span></strong></span></strong>.	Correct
MC	<p>0ba7_8d35</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> come from other living <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The <strong><span style="color: MediumBlue;">organ</span> </strong>is the basic unit of structure and organization in organisms.	Correct
MC	<p>0ba7_1d2f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> are made primarily of water.	Correct
MC	<p>0ba7_faaf</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> come from previously existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect	Living things can "generate" from non-living matter.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect
MC	<p>0ba7_c48d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> come from other living <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> are of similar shapes and sizes.	Correct
MC	<p>0ba7_3f74</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The basic units of structure and function are <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">organs</span></strong></span></strong>.	Correct	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect
MC	<p>0ba7_07b1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> are too small to see without a microscope.	Correct	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_1ba8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Living things can "generate" from non-living matter.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_b222</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">organs</span></strong></span></strong>.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic structural and functional units of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect
MC	<p>0ba7_b866</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">living things</span></strong></span></strong> are only composed of <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> and nothing else.	Correct	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> come from other living <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_fe45</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic structural and functional units of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic structural and functional units of <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">life</span></strong></span></strong>.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_a1af</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic unit of structure and function in all <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">living things</span></strong></span></strong>.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> come from previously existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_c79e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require glucose for survival.	Correct	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_f71d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> have a nucleus which divides.	Correct
MC	<p>0ba7_c607</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> are of similar shapes and sizes.	Correct	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect
MC	<p>0ba7_5370</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain a nucleus.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_7724</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	Bacteria are prokaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong>.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect
MC	<p>0ba7_8165</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	The <strong><span style="color: MediumBlue;">organ</span> </strong>is the basic unit of structure and organization in organisms.	Correct	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_bf2c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain membrane-bound organelles.	Correct
MC	<p>0ba7_58b1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require glucose for survival.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect
MC	<p>0ba7_47b9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Living things can "generate" from non-living matter.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic building blocks of all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect
