MC	<p>097f_9af1</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Photon absorption changes <strong><strong>retinal</strong></strong> shape and activates <strong><strong>rhodopsin</strong></strong>.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect
MC	<p>097f_e339</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Phototransduction begins by synthesizing <strong>cGMP</strong> from GDP.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong>.	Correct	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect
MC	<p>097f_5af9</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Phototransduction reduces <strong><strong>cGMP</strong></strong> by increasing its breakdown.	Correct	Rods are responsible for most color discrimination in bright light.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Incorrect	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect
MC	<p>4106_6b69</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Correct	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect
MC	<p>4106_4b88</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	Rod <strong><strong>CNG</strong></strong> channels open when <strong><strong>cGMP</strong></strong> levels fall.	Correct
MC	<p>097f_1014</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	Photon absorption changes <strong><strong>retinal</strong></strong> shape and activates <strong><strong>rhodopsin</strong></strong>.	Correct	<strong>CNG</strong> channels close in darkness because <strong>cGMP</strong> is highest in light.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect	Rods are responsible for most color discrimination in bright light.	Incorrect
MC	<p>4106_e609</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Rods are responsible for most color discrimination in bright light.	Correct	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect
MC	<p>4106_435e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	<strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> increases <strong><strong>cGMP</strong></strong> concentration by synthesizing it from GTP.	Correct	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect
MC	<p>4106_e172</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Correct	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Incorrect	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect
MC	<p>097f_a878</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rhodopsin consists of an opsin protein plus a <strong><strong>retinal</strong></strong> chromophore.	Correct	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	Hearing relies mainly on GPCR signaling cascades that take seconds to operate.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect
MC	<p>4106_9939</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Dark current is produced by closing <strong><strong>CNG</strong></strong> channels in rod outer segments.	Correct	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect
MC	<p>097f_b177</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Rod <strong><strong>CNG</strong></strong> channels close when <strong><strong>cGMP</strong></strong> levels fall.	Correct	Hair cells detect sound by photoreception in the cochlea.	Incorrect
MC	<p>4106_cf94</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Correct
MC	<p>4106_409e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	In rods, light increases <strong><strong>cGMP</strong></strong> to open more <strong><strong>CNG</strong></strong> channels.	Correct	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect	Rod photoreceptors hyperpolarize in response to light.	Incorrect
MC	<p>4106_789a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Tip links prevent ion channels from opening and block mechanotransduction.	Correct	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Rods are more sensitive to low light than cones.	Incorrect	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Incorrect
MC	<p>097f_7644</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Correct	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect
MC	<p>097f_b9d3</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Rods are responsible for most color discrimination in bright light.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Correct	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect
MC	<p>4106_b658</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rods are more sensitive to low light than cones.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong><strong>retinal</strong></strong>.	Correct
MC	<p>097f_f6bb</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Light opens sodium channels in rods and increases inward current.	Incorrect	Rhodopsin consists of an opsin protein plus a <strong><strong>retinal</strong></strong> chromophore.	Correct
MC	<p>097f_c00f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	In darkness, rods have relatively high <strong><strong>cGMP</strong></strong> and open <strong><strong>CNG</strong></strong> channels.	Correct	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect
MC	<p>097f_2bbc</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong>.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect
MC	<p>097f_b708</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect	Light causes <strong><strong>retinal</strong></strong> isomerization that triggers a conformational change in opsin.	Correct	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect
MC	<p>097f_6fd5</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Light opens sodium channels in rods and increases inward current.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Correct
MC	<p>4106_b794</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rods are responsible for most color discrimination in bright light.	Correct	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect
MC	<p>097f_3ad9</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Light opens sodium channels in rods and increases inward current.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Correct
MC	<p>4106_2eb7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Correct	Rod photoreceptors hyperpolarize in response to light.	Incorrect
MC	<p>097f_c372</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect	In rods, activated <strong><strong>rhodopsin</strong></strong> activates a G protein that leads to phosphodiesterase activation.	Correct	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect
MC	<p>097f_1343</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect
MC	<p>4106_3d10</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	Rods are more sensitive to low light than cones.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Correct	Rod photoreceptors hyperpolarize in response to light.	Incorrect
MC	<p>4106_108e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	Phototransduction begins by synthesizing <strong><strong>cGMP</strong></strong> from GDP.	Correct	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect
MC	<p>097f_a556</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Cones are more sensitive to dim light than rods.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect	Rhodopsin is formed when opsin binds <strong><strong>retinal</strong></strong>.	Correct	Rod photoreceptors depolarize strongly in response to light.	Incorrect
MC	<p>4106_a166</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Correct	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect
MC	<p>097f_d6a2</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect	Rods are more sensitive to low light than cones.	Correct
MC	<p>4106_3791</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Correct	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect
MC	<p>097f_6365</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	In rods, activated <strong><strong>rhodopsin</strong></strong> activates a G protein that leads to phosphodiesterase activation.	Correct	<strong>CNG</strong> channels close in darkness because <strong>cGMP</strong> is highest in light.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect
MC	<p>097f_a861</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect	In rods, <strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> activity lowers <strong><strong>cGMP</strong></strong> concentration.	Correct	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Phototransduction begins by synthesizing <strong>cGMP</strong> from GDP.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect
MC	<p>097f_c84e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect	Lower <strong><strong>cGMP</strong></strong> closes <strong><strong>CNG</strong></strong> channels in rod outer segments.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect
MC	<p>4106_c098</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Phototransduction begins by synthesizing <strong><strong>cGMP</strong></strong> from GDP.	Correct
MC	<p>097f_84f0</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect	In rods, <strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> activity lowers <strong><strong>cGMP</strong></strong> concentration.	Correct	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect
MC	<p>097f_5537</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Correct	<strong>CNG</strong> channels close in darkness because <strong>cGMP</strong> is highest in light.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect
MC	<p>4106_3fc9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	In rods, light increases <strong><strong>cGMP</strong></strong> to open more <strong><strong>CNG</strong></strong> channels.	Correct	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Incorrect
MC	<p>097f_a557</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Correct	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect
MC	<p>097f_1c52</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Light opens sodium channels in rods and increases inward current.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect	In rods, <strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> activity lowers <strong><strong>cGMP</strong></strong> concentration.	Correct	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect
MC	<p>4106_15be</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Correct
MC	<p>097f_c3ee</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells release neurotransmitter to afferent neurons when depolarized.	Correct	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect	Hearing relies mainly on GPCR signaling cascades that take seconds to operate.	Incorrect	Cones are more sensitive to dim light than rods.	Incorrect
MC	<p>097f_b0f3</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Rod <strong><strong>CNG</strong></strong> channels close when <strong><strong>cGMP</strong></strong> levels fall.	Correct	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect	Cones are more sensitive to dim light than rods.	Incorrect
MC	<p>4106_b387</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect	Rods are more sensitive to low light than cones.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Correct	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect
MC	<p>097f_dd10</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	Rods are responsible for most color discrimination in bright light.	Incorrect	Dark current in rods is supported by <strong><strong>cGMP</strong></strong> gated channel opening.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect
MC	<p>4106_874c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Light opens sodium channels in rods and increases inward current.	Correct	Sound is converted into electrical signals by hair cell deflection.	Incorrect	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect
