MC	<p>c32d_190e</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong> base pairing	Incorrect
MC	<p>aa95_322f</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect
MC	<p>c32d_dce6</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct
MC	<p>aa95_e4fa</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect
MC	<p>90cc_bf73</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect
MC	<p>c32d_04cd</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect
MC	<p>90cc_9578</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect
MC	<p>c32d_a978</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect
MC	<p>c32d_932b</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect
MC	<p>1b41_2299</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct
MC	<p>c32d_b661</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;">increase</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong> base pairing	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect
MC	<p>1b41_9770</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect
MC	<p>c32d_e17b</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong> base pairing	Incorrect	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct
MC	<p>1b41_9e75</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect
MC	<p>aa95_d968</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong> base pairing	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect
MC	<p>90cc_8187</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect
MC	<p>aa95_75f4</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect
MC	<p>90cc_21de</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong> base pairing	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect
MC	<p>1b41_be87</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect
MC	<p>aa95_c7fb</p> Which one of the following will <strong><strong><span style="color: #a719db;"><strong><span style="color: #a719db;"><strong><span style="color: #a719db;">DECREASE</span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong> base pairing	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect
