MC	<p>b005_450c</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	development of super-resolved fluorescence microscopy	Incorrect
MC	<p>5d70_1c0d</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_1e73</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	development of multiscale models for complex chemical systems	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect
MC	<p>b005_a785</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect
MC	<p>b005_5666</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct
MC	<p>5d70_3854</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_a0bf</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discoveries of machinery regulating vesicle transport in our cells	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	discoveries of mechanisms for autophagy	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect
MC	<p>b005_1a83</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	development of multiscale models for complex chemical systems	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect
MC	<p>b005_87eb</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	development of multiscale models for complex chemical systems	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect
MC	<p>b005_7229</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	development of super-resolved fluorescence microscopy	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	discoveries of mechanisms for autophagy	Incorrect
MC	<p>b005_7919</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of machinery regulating vesicle transport in our cells	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	development of multiscale models for complex chemical systems	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect
MC	<p>5d70_a2f2</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Correct
MC	<p>5d70_0f44</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>5d70_796b</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_3179</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of super-resolved fluorescence microscopy	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect
MC	<p>5d70_13b6</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Correct
MC	<p>5d70_7072</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>5d70_8ee1</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_2884</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect
MC	<p>5d70_662d</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>5d70_aa01</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_1050</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect
MC	<p>5d70_45d5</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_02a8</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_4677</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of machinery regulating vesicle transport in our cells	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	development of multiscale models for complex chemical systems	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect
MC	<p>b005_a54b</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of mechanisms for autophagy	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct
MC	<p>5d70_a331</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discovery and studies of G-protein coupled receptors (GPCRs)	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_2c45</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>5d70_6e01</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>5d70_d63b</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_c9ee</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect
MC	<p>5d70_f0f1</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning a novel therapy against Malaria	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_e6fb</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	development of super-resolved fluorescence microscopy	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect
MC	<p>b005_28ce</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	development of multiscale models for complex chemical systems	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect
MC	<p>b005_9a33</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect
MC	<p>b005_4b87</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
MC	<p>b005_e9fe</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	development of multiscale models for complex chemical systems	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct
MC	<p>5d70_3f4b</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_327b</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discoveries of cells that constitute a positioning system in the brain	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_b8e2</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of multiscale models for complex chemical systems	Incorrect
MC	<p>5d70_a120</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_e3ac</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of machinery regulating vesicle transport in our cells	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect
MC	<p>b005_4a61</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	development of super-resolved fluorescence microscopy	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	development of multiscale models for complex chemical systems	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
MC	<p>5d70_c3c3</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_93f5</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect
MC	<p>5d70_bdcb</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discovery of cancer therapy by inhibition of negative immune regulation	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_26cb</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct
MC	<p>b005_fc31</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries of mechanisms for autophagy	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect
MC	<p>b005_a37e</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discoveries of how cells sense and adapt to oxygen availability	Incorrect
MC	<p>5d70_adda</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries of how cells sense and adapt to oxygen availability	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_37b3</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	development of multiscale models for complex chemical systems	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
MC	<p>b005_0f70</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	discoveries of mechanisms for autophagy	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect
MC	<p>5d70_0450</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_b838</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discoveries concerning a novel therapy against Malaria	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect
MC	<p>b005_c7b4</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct
MC	<p>5d70_ef1b</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_2cb1</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect
MC	<p>5d70_aea0</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries of molecular mechanisms controlling the circadian rhythm	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
